"Investment Type ID","Investment Type","Quarter ID","Quarter_","Time ID","Investment (USD)"
3,"Reinversión de Utilidades",20042,"2004-T2",1083387600000,314065093.9941406
3,"Reinversión de Utilidades",20044,"2004-T4",1099288800000,0
3,"Reinversión de Utilidades",20051,"2005-T1",1107237600000,18781995.77331543
3,"Reinversión de Utilidades",20052,"2005-T2",1114923600000,519582275.390625
3,"Reinversión de Utilidades",20053,"2005-T3",1122872400000,119418.00266504288
3,"Reinversión de Utilidades",20054,"2005-T4",1130824800000,774432.0034980774
3,"Reinversión de Utilidades",20061,"2006-T1",1138773600000,3062403320.3125
3,"Reinversión de Utilidades",20062,"2006-T2",1146459600000,777205749.5117188
3,"Reinversión de Utilidades",20063,"2006-T3",1154408400000,3100668.9071655273
3,"Reinversión de Utilidades",20064,"2006-T4",1162360800000,0
3,"Reinversión de Utilidades",20071,"2007-T1",1170309600000,3072542236.328125
3,"Reinversión de Utilidades",20072,"2007-T2",1177995600000,848665954.5898438
3,"Reinversión de Utilidades",20073,"2007-T3",1185944400000,8031972.885131836
3,"Reinversión de Utilidades",20081,"2008-T1",1201845600000,1934210693.359375
3,"Reinversión de Utilidades",20082,"2008-T2",1209618000000,2107436279.296875
3,"Reinversión de Utilidades",20083,"2008-T3",1217566800000,1722175.9557724
3,"Reinversión de Utilidades",20084,"2008-T4",1225519200000,5803410.053253174
3,"Reinversión de Utilidades",20091,"2009-T1",1233468000000,142805175.78125
3,"Reinversión de Utilidades",20092,"2009-T2",1241154000000,1860405761.71875
3,"Reinversión de Utilidades",20093,"2009-T3",1249102800000,631287902.8320312
3,"Reinversión de Utilidades",20094,"2009-T4",1257055200000,2196656.9423675537
3,"Reinversión de Utilidades",20101,"2010-T1",1265004000000,1032226074.21875
3,"Reinversión de Utilidades",20102,"2010-T2",1272690000000,808429687.5
3,"Reinversión de Utilidades",20103,"2010-T3",1280638800000,20051538.467407227
3,"Reinversión de Utilidades",20104,"2010-T4",1288587600000,123478981.0180664
3,"Reinversión de Utilidades",20111,"2011-T1",1296540000000,297450866.69921875
3,"Reinversión de Utilidades",20112,"2011-T2",1304226000000,2634099365.234375
3,"Reinversión de Utilidades",20113,"2011-T3",1312174800000,559837768.5546875
3,"Reinversión de Utilidades",20114,"2011-T4",1320123600000,-310872344.9707031
3,"Reinversión de Utilidades",20121,"2012-T1",1328076000000,960728332.5195312
3,"Reinversión de Utilidades",20122,"2012-T2",1335848400000,451328002.9296875
3,"Reinversión de Utilidades",20123,"2012-T3",1343797200000,15408602.714538574
3,"Reinversión de Utilidades",20124,"2012-T4",1351746000000,-116820327.75878906
3,"Reinversión de Utilidades",20131,"2013-T1",1359698400000,768522949.21875
3,"Reinversión de Utilidades",20132,"2013-T2",1367384400000,869656799.3164062
3,"Reinversión de Utilidades",20133,"2013-T3",1375333200000,102636589.05029297
3,"Reinversión de Utilidades",20134,"2013-T4",1383282000000,300796051.0253906
3,"Reinversión de Utilidades",20141,"2014-T1",1391234400000,4158577636.71875
3,"Reinversión de Utilidades",20142,"2014-T2",1398920400000,68792083.74023438
3,"Reinversión de Utilidades",20143,"2014-T3",1406869200000,18839193.34411621
3,"Reinversión de Utilidades",20144,"2014-T4",1414818000000,175969558.7158203
3,"Reinversión de Utilidades",20151,"2015-T1",1422770400000,1841421752.9296875
